timestamp,level,source,message,status,duration_ms,ip
2024-01-15T08:23:01Z,INFO,api-gateway,Application started,200,0,
2024-01-15T08:23:15Z,INFO,api-gateway,GET /api/health,200,2,192.168.1.10
2024-01-15T08:24:01Z,WARN,api-gateway,High memory usage detected,0,0,
2024-01-15T08:24:30Z,INFO,api-gateway,POST /api/users,201,45,192.168.1.20
2024-01-15T08:25:12Z,ERROR,cache,Redis connection failed,0,0,127.0.0.1
2024-01-15T08:25:45Z,INFO,api-gateway,GET /api/users/42,200,12,192.168.1.10
2024-01-15T08:26:30Z,ERROR,db,Database query timeout,500,30001,
2024-01-15T08:26:30Z,ERROR,api-gateway,Request failed,500,30001,192.168.1.100
2024-01-15T08:27:00Z,INFO,scheduler,Scheduled job started,0,0,
2024-01-15T08:27:05Z,INFO,scheduler,Scheduled job completed,0,0,
2024-01-15T08:28:10Z,WARN,api-gateway,Rate limit exceeded,429,1,10.0.0.55
2024-01-15T08:28:10Z,INFO,api-gateway,GET /api/products,429,1,10.0.0.55
2024-01-15T08:29:00Z,INFO,monitor,Healthcheck passed,200,5,
2024-01-15T08:30:15Z,ERROR,api-gateway,TLS handshake failed,0,0,203.0.113.50
2024-01-15T08:30:45Z,FATAL,api-gateway,Out of memory,0,0,
